"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"1a4c427ff57ccef72b5536eb6665e4c1","Fungi",NA,NA,NA,NA,NA,NA
"4e0db286fe7fde638e5bb6594a807e2d","Fungi",NA,NA,NA,NA,NA,NA
"a4ab0df3aadaa73dfd9346cdaabfee38","Fungi",NA,NA,NA,NA,NA,NA
"c0ae21b50cb1c20eb3cfa79a366715a9","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Strophariaceae","Pholiota","Pholiota_aurivella"
"417b6df5ee16ea7cf670f42a019ce7c1","Fungi",NA,NA,NA,NA,NA,NA
"02ee24d2954d0069174f2eb60b86073c","Fungi",NA,NA,NA,NA,NA,NA
"7d704226137f06258e7f5ef206ed3a03","Fungi",NA,NA,NA,NA,NA,NA
"d592bfca12b69129652d63cf813384db","Fungi",NA,NA,NA,NA,NA,NA
"ec177261c6065ad34038a0ad770dacd1","Fungi",NA,NA,NA,NA,NA,NA
"d8de3b17cd340758f1df11f5474118c9","Fungi","Fungi_phy_Incertae_sedis","Fungi_cls_Incertae_sedis","Fungi_ord_Incertae_sedis","Fungi_fam_Incertae_sedis","Fungi_gen_Incertae_sedis","Fungi_sp"
"e22f1acfcece9f14f6343a6db5e7e706","Fungi",NA,NA,NA,NA,NA,NA
"6e30c0b95d51298fe516f9c64805d953","Fungi","Ascomycota","Leotiomycetes","Helotiales",NA,NA,NA
"5712653133b8cba73bba0d9566abc4e9","Fungi",NA,NA,NA,NA,NA,NA
"cf4a856cb18d87282ffaa925672c2af7","Fungi",NA,NA,NA,NA,NA,NA
"0d1170818551a7d15fe14b8feb78d0a9","Fungi","Ascomycota","Leotiomycetes","Helotiales","Chaetomellaceae","Chaetomella","Chaetomella_raphigera"
"85db6be8b7d1d1374b1a2e3159e45844","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Bulleribasidium","Bulleribasidium_variabile"
"eca0e0b571ad3ab959bf2541137565d3","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Cucurbitariaceae","Neocucurbitaria",NA
